"Region","Country","timePeriod","productionStability","productionCaloriesStability","productionProteinStability","productionFatStability","production","productionCalories","productionProtein","productionFat","coverage","diversity","richness","soilQuality","soilDiversity","fertilizer","irrigation","instabilityTemp","instabilityPrec"
"AT11","AT",1978,8.21254068540327,8.91027848516137,8.6708595923614,4.51986252998008,460440,785481100000,23399320000,5104730000,0.3404034507362,1.80528694488355,4,6.14781940616606,3.55085093093742,0.097097952196792,0.84,-17.0566321318363,-6.93856293742912
"AT31","AT",1978,7.12491092880313,8.93399791314499,9.52562129946601,13.7394516069454,731180,1103128200000,32229110000,6502630000,0.231712273096722,2.04091657327652,4,6.18156929173837,4.75787789124968,0.097097952196792,0.84,-15.85886482854,-8.48198333129585
"AT12","AT",1978,7.66255878735085,10.6609829863632,11.4551935871014,7.05730593745827,3305250,4455985700000,125446930000,20713420000,0.378969271991335,2.12576050450623,4,6.60870476495298,4.67140492257688,0.097097952196792,0.84,-14.1327206122857,-7.32293707537657
"AT21","AT",1978,17.3630517672002,14.0065992679814,13.4697916363506,12.5120230268156,125480,238858100000,7498220000,1118450000,0.224859995130265,1.51427289001824,2,6.1557209532695,1.68609751867314,0.097097952196792,0.84,-15.3253170596727,-8.09925788666765
"AT22","AT",1978,11.6292253845149,11.2648084065955,11.0391116389661,11.9222356759514,200950,373808600000,11653670000,1859190000,0.159342233426918,1.60850894032522,4,5.9687601654526,4.28113553708045,0.097097952196792,0.84,-16.0395513393466,-8.75649829211203
"AT11","AT",1988,13.0467834887836,9.25082944935419,8.29411653555144,3.88599529577133,469890,841032600000,26025710000,17340890000,0.336739284107705,3.02523851334022,5,6.14781940616606,3.55085093093742,0.0853992294406802,2.73,-12.6516152312042,-8.53699349768223
"AT21","AT",1988,14.4351940392721,11.1898488246487,10.876542062645,10.6574274406335,77520,186082700000,6014100000,1139870000,0.187221603563474,1.49020499195869,4,6.1557209532695,1.68609751867314,0.0853992294406802,2.73,-11.6690253126903,-12.0367074173116
"AT12","AT",1988,19.7424769540387,33.4078243481497,27.9924906753993,4.55951506591771,3441300,4767536500000,137769050000,66618040000,0.379347702132512,3.48211562991885,5,6.60870476495298,4.67140492257688,0.0853992294406802,2.73,-9.85412071791635,-10.3938979585225
"AT22","AT",1988,12.1648735273585,8.65624240549957,8.38612413652457,4.34974935159834,146050,3.5922e+11,11617050000,2768750000,0.150614947965941,1.5757344601721,4,5.9687601654526,4.28113553708045,0.0853992294406802,2.73,-10.5647872889329,-14.1381530367159
"AT31","AT",1988,15.9234097961397,13.1757285548862,12.1080826056325,4.17264489032321,738740,1301709400000,39835410000,19413460000,0.245771958537916,2.50199035001223,5,6.18156929173837,4.75787789124968,0.0853992294406802,2.73,-12.1685419108956,-11.9803490022599
