"Country","timePeriod","productionStability","cropStability","cropAsynchrony","production","areaHarvested","diversity","richness","soilQuality","soilDiversity","fertilizer","irrigation","instabilityTemp","instabilityPrec"
"AT",1978,10.8698769664623,7.04108059769878,0.5804058985,6957261700000,433080,2.04166117695402,4,6.38635419528107,7.77557849178939,0.097097952196792,0.84,-15.1019701397564,-9.47162833890138
"AT",1988,25.120736082725,8.85376467021988,0.8757800852,7455581200000,427930,3.16150791248076,5,6.38635419528107,7.77557849178939,0.0853992294406802,2.73,-10.8616173643055,-17.3692749431589
"AT",1998,13.0092441305054,9.2587569028524,0.4934745915,11290981700000,651030,4.63493705954892,8,6.38635419528107,7.77557849178939,0.0916921325650196,3.497,-17.3642187444708,-9.76360816306807
"AT",2008,5.91229570020311,6.96699724335857,0.5459731123,19730615130000,912443,7.58381906727297,12.8,6.38635419528107,7.77557849178939,0.0717711103723404,4.15555555555556,-15.4123957131748,-8.85065200997507
"BE",1978,16.332179975726,9.56371841075287,0.6571017672,6819240100000,293250,3.7549107632267,5,7.68469761083647,5.48420873078329,0.246019106699752,1.01,-17.2904992220379,-11.4290950865649
"BE",1988,13.7214222089584,10.4007975421225,0.4254404737,4413365200000,142550,3.19516129293228,4,7.68469761083647,5.48420873078329,0.210040255742363,1.5,-15.0492182798374,-8.60429554809133
"BE",1998,17.7982967484882,10.3406707308711,0.6624481192,8063842300000,258460,3.63141215560097,5,7.68469761083647,5.48420873078329,0.171497608325248,1.90375,-37.0090577616562,-6.6052298117893
"BE",2008,5.38686967777966,6.90687636156709,0.3181307968,7643233020000,243127,3.61731112911657,4.9,7.68469761083647,5.48420873078329,0.19472926966754,1.57666666666667,-14.9305060115093,-10.5979441323934
"BG",2008,4.67415847761042,6.91551133307631,0.483388916,23564758980000,2016118,4.02637114819161,6.2,6.07433411055914,5.56005832133946,0.0847964312364626,2.40333333333333,-33.3264148837017,-5.02855570484194
"CY",1988,3.14325374490693,3.18965581934962,0.2384359782,588073300000,68450,2.0616588571446,4.7,2.74179299971753,4.29630117189715,0.0881886037987338,24.745,-39.862332863752,-3.13863358428177
"CY",1998,3.06334964485007,2.9266161874745,0.2378308299,442704690000,67755,2.42273092272728,5.8,2.74179299971753,4.29630117189715,0.056811946753159,29.098,-63.1934239041421,-5.25186565571382
"CY",2008,2.55827018395524,2.11775755720785,0.3147332468,257595800000,38704,3.43009672151142,8,2.74179299971753,4.29630117189715,0.0639004531491083,39.6022222222222,-59.4700589359571,-3.33058849393038
"CZ",1998,8.9787467757809,6.32724951720532,0.4906466993,28279102320000,1855149,4.01911372141598,7.6,7.33465042911579,3.99928762471064,0.0694946109597336,0.966,-17.3460808616197,-6.89969047434469
"CZ",2008,12.1901812882108,8.28323579698664,0.5382789014,33693525220000,1804486,4.17349754820382,8,7.33465042911579,3.99928762471064,0.107175385253265,0.862222222222222,-12.1321517556978,-7.92248244731207
"DE",1978,20.1080232323613,11.5922792833406,0.667647527,51553666600000,2832030,2.5428684290463,4,6.73665260675145,8.94044908151958,0.176998877665544,2.533,-14.5327481353246,-9.99063775565687
"DE",1988,8.19423312590132,6.73763938264111,0.3239187459,75940629400000,3837120,3.04340525399582,4,6.73665260675145,8.94044908151958,0.153665168855457,2.765,-11.6836911681304,-7.97887484163754
