"Region","soilDiversity"
"AT11",3.55085093093742
"AT12",4.67140492257688
"AT13",2.36549186733857
"AT21",1.68609751867314
"AT22",4.28113553708045
"AT31",4.75787789124968
"AT32",4.28678538216904
"AT33",3.32442390128295
"AT34",4.03424144807854
"BE10",1
"BE21",2.15645293323039
"BE22",3.42409481493019
"BE23",3.05686230005569
"BE24",2.09083327191394
"BE25",3.51549120995286
"BE31",1
"BE32",2.22079765766443
"BE33",2.34638961530238
"BE34",2.22043513659671
"BE35",1.75674693215883
"BG31",3.45768278585314
"BG32",4.54238216566621
"BG33",3.22677685746455
"BG34",2.40410063165949
"BG41",3.43853756517773
"BG42",3.35093759651831
"CY",4.29630117189715
"CZ01",1.84775669235959
"CZ02",4.45181124629847
"CZ03",1.59969841053047
"CZ04",3.66792348315113
"CZ05",3.81942271677169
"CZ06",2.28789574615918
"CZ07",3.26199579817249
"CZ08",1.98746012871371
"DE1",6.88469387930725
"DE2",4.40998332042026
"DE4",3.88454390592124
"DE5",1.41642961001726
"DE6",1.76270680526947
"DE7",3.03323390128323
"DE8",2.71452241768448
"DE9",7.00457701907364
"DEA",4.42946319809675
"DEB",2.93206813595813
"DEC",1.47136035037065
"DED",2.25784076570839
"DEE",4.82659973460109
"DEF",2.91457594921898
"DEG",4.06979489492281
"DK01",1.1671202918839
"DK02",1.92726822802826
"DK03",4.01692247559127
"DK04",4.52854455089273
"DK05",3.84298083905555
"EE",1.99674087715111
"ES11",1.64049755202478
"ES12",2.94892641735096
"ES13",1.84035127280746
"ES21",1.76989974384439
"ES22",2.34911866331377
"ES23",2.47258213067397
"ES24",2.18569297333378
"ES30",4.13234743242195
"ES41",5.18056266924644
"ES42",4.46014818384349
"ES43",4.66006322057938
"ES51",2.42534818053004
"ES52",1.56764875537519
"ES53",1
"ES61",6.50732995275582
"ES62",1.68748362129706
"ES70",4.7397245106796
"FI19",2.89952348247444
"FI1B",3.07140109869694
"FI1C",3.20703384589522
"FI1D",1.87523238471946
"FI20",1
"FR10",2.02756041570761
"FR21",4.13588231609565
"FR22",1.21287765589511
"FR23",1.56614716713813
"FR24",5.38964835264105
"FR25",3.64971157545726
"FR26",5.77564569459771
"FR30",2.20513488184078
"FR41",2.75842485302584
"FR42",5.05649697096579
"FR43",5.75449260228795
"FR51",5.01526703596996
"FR52",3.17567700384103
"FR53",5.28270990615377
"FR61",4.18370496460105
"FR62",3.73882864928067
"FR63",1.73023795538349
"FR71",6.34861453696121
"FR72",2.56504892735178
"FR81",5.9157909515403
"FR82",6.08350188406871
"FR83",2.56228841899731
"UKC",3.17606515187376
"UKD",3.60661245322389
"UKE",4.18113507975013
"UKF",6.2649317995198
"UKG",4.87328837495556
"UKH",6.0911367907959
"UKJ",6.02126845731114
"UKK",6.1396807902464
"UKL",2.53492621592052
"UKM",6.56076424030503
"UKN",3.35899984281437
"EL30",2.92479346253368
"EL41",1.71603486145494
"EL42",2.85636790930491
"EL43",2.38961922022723
"EL51",3.46868644457943
"EL52",3.71125958231536
"EL53",3.26156448215034
"EL54",3.55800965559173
"EL61",3.35066231568045
"EL62",1.99144703177416
"EL63",3.86433325914531
"EL64",2.90288582452277
"EL65",2.71633240198831
"HR03",3.20585739994006
"HR04",7.0973635955228
"HU1",6.52381023250301
"HU21",5.57188717183624
"HU22",5.82522347047345
"HU23",7.29275266729697
"HU31",6.10691713906912
"HU32",7.02740139234443
"HU33",4.3136743213456
"IE01",4.85413943262719
"IE02",3.52948358093439
"ITC1",5.25796458294986
"ITC2",2.93250177368906
"ITC3",1.67560326568958
"ITC4",3.72668321787396
"ITF1",3.06511422591547
"ITF2",2.89391355741652
"ITF3",3.68314668189986
"ITF4",3.94923673869558
"ITF5",4.04727271559464
"ITF6",3.80945905329411
"ITG1",3.11691524974407
"ITG2",3.84624794102657
"ITH3",1.65930821968174
"ITH4",1.3824212150072
"ITI1",3.37308784559938
"ITI2",1.93514664643211
"ITI4",3.56394237883977
"LT",1.88387675788061
"LU",2.81273060380312
"LV",1.62249638661585
"MT",1
"NL11",2.49027288315032
"NL12",4.32246067411293
"NL13",2.16465745655025
"NL21",2.34508248678083
"NL22",2.96976609299748
"NL23",2.4133569172729
"NL31",3.59424064541576
"NL32",3.72487398678451
"NL33",2.92752970858059
"NL34",1.30438969464056
"NL41",2.77630327923643
"NL42",2.54099092614286
"PL11",3.11215834677344
"PL12",7.44768481212804
"PL21",5.69170810928065
"PL22",3.78913857274531
"PL31",5.55875915024746
"PL32",5.33702697083729
"PL33",5.35103793045349
"PL34",5.53253321937003
"PL41",5.56266545264539
"PL42",5.84210822980434
"PL43",6.60329445006797
"PL51",5.75357931550266
"PL52",5.84163429841561
"PL61",5.2303763492141
"PL62",5.85548383582593
"PL63",6.89921301086724
"PT11",2.62213265696718
"PT15",2.71995195979071
"PT16",6.48638901473802
"PT17",3.28353381324447
"PT18",8.93427361049451
"PT30",1
"RO11",5.56432921246741
"RO12",3.60162686788743
"RO21",8.5171210825506
"RO22",4.32048232608408
"RO31",8.29675992508666
"RO32",1.99896113357893
"RO41",8.9828847313152
"RO42",7.87005421111614
"SE11",2.37337766319124
"SE12",3.21629245232151
"SE21",2.87966169589028
"SE22",1.31120789215736
"SE23",3.1202346529203
"SE31",1.21723922828993
"SE32",2.05502761948893
"SE33",1.14249561187689
"SI03",5.03301988982846
"SI04",3.71174740536966
"SK01",4.18183901220307
"SK02",7.10914064608302
"SK03",4.64248980886854
"SK04",4.81960998065454
